"FSC-A", "FSC-H", "FSC-W", "SSC-A", "SSC-H", "SSC-W", "BB515-A", "APC-A", "Time", "Event #"
60479.7,31930.5,131281,65689.7,45562.2,110311,76.0404,288.644,1.36523,187
31641.2,16649.4,133592,79322.2,47164.2,120840,46.4674,304.453,1.36639,188
22532.2,12070.5,128176,68097.1,41954.2,121619,208.838,409.15,1.3707,189
38305.3,21950.2,121586,48925.4,36437.8,102905,139.731,379.172,1.37903,190
22035.9,12501.3,112295,36917.4,27317.6,99679.8,69.1971,151.98,1.38596,191
37553.4,19651.1,136488,87979.5,56634.2,120386,164.516,454.902,1.39535,193
33575,18142.6,144784,63603.9,34128.8,126769,147.813,628.199,1.40405,195
48448.4,26810.2,121853,40268.6,29888.9,97258.5,75.6897,369.571,1.4115,197
65589,36663.1,135303,92195.9,73482.6,113784,159.165,403.71,1.44296,199
38918.2,19153.6,138144,80888.5,54187.3,117957,192.904,1308.29,1.45324,200
41278.2,25551.7,115388,32056.8,24821.6,94233.6,52.9884,321.636,1.45359,201
34974.8,21612.4,114394,42925.1,34819.4,93447.5,48.8386,341.647,1.45634,202
26601.6,16074.4,110493,35556.4,27176.9,94553.9,149.198,311.175,1.46468,203
29899.7,18257.1,123825,50946.8,35431.4,106631,143.023,441.709,1.4655,204
24452.3,13648.8,112133,41831.1,32427.6,98117.8,64.9639,382.195,1.4766,205
34126.3,18028.9,121053,42242,26674.7,104796,100.361,1462.96,1.48966,206
45546.1,23310.2,130401,73248.7,51682.6,108269,77.1509,286.092,1.49202,208
32662.5,16856.1,130729,81279,45634.1,121677,221.823,436.616,1.54239,211
29099.4,15321.6,121100,57700.6,38787.5,110233,72.9415,246.8,1.54537,212
67126.6,38168.7,138196,81194.5,53979.5,114550,146.775,547.871,1.54804,213
48309.3,29099.5,135926,91437.4,62046.7,117948,147.525,478.827,1.55488,215
22872.2,11588.4,119845,48076.6,35188.6,104115,102.339,348.998,1.55961,216
52730.8,31151.4,117618,37922.8,29028.6,94032.1,64.786,634.976,1.58416,220
40098.4,22087.3,142929,91442,55091.7,121691,162.158,691.739,1.59088,222
59378.3,33460.3,125415,53702.3,42726.5,99182.4,136.206,436.41,1.59662,223
28721.9,16199.6,120857,43583.2,30113.2,103545,187.067,365.182,1.60041,224
23245.7,12973.3,110479,40521.8,31908.3,94008.2,89.2349,175.094,1.60348,225
25714.3,14326.2,127952,62496.5,34367.1,118293,96.4609,517.506,1.63969,227
30464.6,16967.7,117788,51587.9,40977.7,100384,103.27,591.55,1.64167,228
21045.2,10921.7,115173,41408.7,28697.3,102496,85.735,259.327,1.65372,232
35721.8,18753,124999,60668,47536.6,104825,146.429,535.811,1.65581,233
25684,11942.8,131146,52284.3,34430.2,110289,200.791,432.497,1.65626,234
32696.4,17770.2,123998,66767.4,44573.6,110668,94.5388,323.271,1.67035,235
53534.1,29725.7,121500,64128.7,47158.2,103652,178.413,685.014,1.6792,237
38127.6,22502.9,121219,49656.4,34144.8,105269,111.929,340.911,1.69897,239
23602.6,12483.5,114272,46571.9,34795.5,104043,68.3777,195.935,1.70686,240
21164.5,12971.7,117270,52086.6,39820.8,102067,163.193,529.415,1.7086,241
26316.8,14216.7,132290,61191,44005.6,116514,135.108,428.941,1.71026,242
25216.1,13288.4,120938,55950.8,40344.7,108073,177.84,283.273,1.72479,243
29960.6,15262.6,122076,53315.2,37676.7,105350,146.775,347.424,1.73133,245
41648,20673,128656,62789,47478.8,109716,101.874,377.504,1.73212,246
21208.6,11286,117434,43472,26952.4,107267,62.296,205.945,1.74274,247
35009.1,18354.6,120751,47616.9,35552,104977,126.717,448.131,1.74647,248
30191.1,16692.1,116179,55766.6,41942.9,103436,56.7825,274.328,1.74987,249
25930.9,13492.7,121133,45759.9,30027.7,105184,85.6767,295.122,1.76052,251
54412.3,27380.7,131040,86022.7,59775.2,112103,224.495,1406.56,1.76312,252
57432.9,32536.9,125156,47481.9,35506.6,102482,135.975,630.635,1.76517,253
28141.6,14618.4,119950,56620.5,38822.8,108688,146.486,757.767,1.76851,254
22654.7,11558.1,116266,36734.5,26837.9,99953.7,60.5767,176.181,1.76886,256
23365.9,11848.3,116341,39323.5,26696.9,102850,110.71,725.256,1.77292,258
26903.6,16057.1,117503,71135.5,56635.1,106843,139.096,315.246,1.77298,259
30593.1,18017.3,128400,66223.6,46880.7,111846,83.6924,317.465,1.77317,261
38953.7,20154.2,130800,85044.8,54950.3,119513,143.081,404.228,1.78382,265
79061.9,41284.7,134788,74998.3,57003.6,107614,123.473,2009.45,1.80192,266
22106.4,12940.9,113395,39703.5,29018.5,97835.4,109.083,268.674,1.81571,267
65432.4,38665,121403,42398.6,35371.6,93305.6,102.165,286.571,1.81767,268
42118.3,22264.3,126637,62132.3,42745,110153,197.535,326.488,1.82135,269
30605.8,18849.8,120686,67109.5,52390.4,105499,134.703,390.418,1.82381,270
43918,24196.3,125365,51908.6,38462.3,102601,117.153,441.915,1.86061,272
22036.1,12765.2,108249,38962.5,32110.1,93304.9,87.6602,431.054,1.87824,273
34520.6,19350.8,131476,68697.4,50888.7,110329,157.323,442.12,1.87966,274
26327.7,14284.3,113376,37970.1,28984.6,97144.1,105.422,431.569,1.88517,275
36900.1,18974.9,124660,50222,36605.6,103582,95.8203,592.792,1.89,276
21569.7,12425.8,107729,35813.9,28724.2,92930.2,73.2924,794.568,1.89782,279
36039.7,19789.1,119526,55203.1,44721.6,98258.6,184.203,538.125,1.90065,280
26550.6,13792.3,117305,40411.2,30858.9,97637.6,63.3632,188.13,1.90791,283
29696.4,17069.1,119954,58715.8,45168.1,105475,145.621,279.388,1.91904,285
33821,19350.9,127310,82575.1,59570.1,111906,147.006,480.255,1.92099,286
25194.8,12996.7,118331,42133.4,28368.7,104132,101.641,363.874,1.9368,287
37767.9,20281.8,127367,70323.1,53859,108632,229.893,571.289,1.94437,288
21310.9,13017.9,111955,35414.8,25469.9,100134,114.484,253.335,1.94738,289
28881.9,17256.9,116265,45438.6,36528.7,98855.2,20.8013,227.572,1.96202,291
29509.8,16606.2,127153,78769.1,56899.2,114041,235.456,404.954,1.96219,292
47837.8,27526,127654,59200,43127.9,107682,96.5191,287.687,1.97627,293
26140.6,17955.2,123454,63415.2,45324.6,112002,120.517,278.27,1.98542,294
27239.7,17223.3,124424,70545.6,48054.6,114643,161.64,387.349,1.99237,295
25759.4,12756.5,124525,61713.5,45307,110804,86.3185,291.512,1.99494,296
34433.5,21141.1,127146,77416.4,53645.6,110184,154.904,453.569,2.0052,299
23214.6,14026.2,116741,50598.6,37867.4,106784,122.256,445.666,2.01624,301
20323.9,10998.2,111920,46647.1,32148.9,102890,95.8785,654.25,2.03661,303
32542.2,24298.4,104898,41949.4,38453.2,85924.8,149.947,574.98,2.03708,304
27816.7,15587.7,111632,46265.1,34289.4,99920.3,112.742,298.836,2.04168,305
29335,16936.9,120995,54121.8,41429.3,104373,108.154,220.302,2.05653,309
29632.6,16055.7,126719,69316.5,53154.3,111770,214.708,655.574,2.07365,310
29792.3,15265,121354,66326.7,44644,112491,118.603,228.164,2.08654,312
26432.6,15218.8,115102,40326.4,28529.6,101178,114.252,183.408,2.11662,317
35306.3,17742.1,124608,60243.8,35178.9,111116,81.1819,605.536,2.14135,319
21668,12111.2,117551,45801.9,28816.8,106946,164.803,330.862,2.14439,320
61094.6,32525.3,128019,52940.5,37020.1,105306,112.104,414.171,2.14595,321
38895.1,19814.8,124340,53741.8,32495.5,110234,169.286,705.982,2.17369,322
26032.7,14405.5,124018,49117.7,36334.1,105622,157.092,287.74,2.203,323
42859.7,23707.4,126346,57661.7,36493.8,107732,60.8139,316.461,2.25233,327
21641.1,11603.4,117300,48720.6,33745.6,107297,165.206,267.607,2.266,328
30029.6,16364.2,125307,70675.2,47488.3,111864,103.852,285.507,2.27637,329
22423.3,13071.1,113350,30611,23210.5,92562.9,119.763,357.804,2.28239,331
43272.5,24501.2,119692,45578.7,36053.5,97294.2,75.6897,598.97,2.28266,332
22773.2,13374.3,116817,53285.3,39387,105099,135.339,373.435,2.29111,333
45292.6,22213,135368,94493.7,57220.3,120684,133.836,391.094,2.30016,335
31615,18665,117163,48852.6,35563.9,103987,72.9415,210.969,2.30601,336
29179.9,15850.7,117583,54565.4,41429.2,103117,78.1443,236.819,2.32576,337
27545.6,15276.4,120558,48020.3,35668.5,103070,76.3911,432.857,2.33861,339
45411.4,23312.2,128002,58267.5,42777.9,107591,153.406,542.398,2.35497,341
23915.6,13692.6,113896,45659.7,35789,98459.9,67.6752,254.941,2.38429,344
26947,12661.2,127663,64667.2,40278.2,120077,211.916,451.005,2.38588,345
35106.7,22353,128899,62831.5,38189.4,111411,125.617,432.188,2.3944,347
25005.8,14052,110239,31881.6,24846.1,92480,66.2089,175.692,2.41914,350
31362.6,18377.6,127094,57837.6,43962,105856,184.604,307.895,2.42685,354
57190.7,34146.5,120886,39535.2,29327.3,95553.3,93.0239,1241.25,2.46183,357
22172,13450.5,134337,63477.9,43859.9,122556,181.452,299.631,2.47503,359
64540.1,35398.2,129255,74491.9,51597.7,110551,155.307,507.995,2.47996,361
70967.4,41559.8,127923,70074.1,47016.4,108343,150.812,679.613,2.49474,362
39835.2,21040.6,128020,61432,44104.8,109596,111.407,486.112,2.49592,364
47038,25064.3,129569,66953.4,50110.7,111031,171.756,1090.03,2.49813,365
50414.6,27240.4,125182,51798.6,38330,101079,66.8556,347.843,2.50399,366
25255.4,12950.4,117502,52500.5,40922.5,103087,159.165,615.173,2.51143,368
40361.8,22225.3,120826,58432.4,44214.5,103107,97.0432,244.065,2.51733,369
44750.5,24619.6,129480,80408,59804,112086,219.148,456.798,2.52712,371
26938,15769.4,116588,55870.8,40985.3,104406,90.4593,246.264,2.5363,372
59261.4,31751.9,143831,97750.9,59440,122511,175.315,330.125,2.53917,373
28531.3,14504,121225,62214.2,45630.5,109360,252.108,681.837,2.55697,375
39591.8,20374.9,131710,82038.7,55172.1,113484,234.775,493.029,2.55746,376
27484.2,13502.2,124085,67016.3,49631.3,107285,155.134,655.892,2.56376,377
24828.1,13120.5,128040,73581.1,45688,119849,154.558,463.25,2.56384,378
78503.5,42051.9,132021,77701.1,58997.2,108020,147.698,560.096,2.56432,379
21877.1,12357.6,134864,52831.4,39775,112461,140.02,215.287,2.58804,381
20375.2,16482,94866.5,34618.9,32137.2,82651.7,94.597,608.501,2.5948,382
23187.6,12933.6,113458,41166.6,30421.1,100746,134.356,183.843,2.62692,384
22980.6,12807.3,113900,43905.8,32085.5,100521,77.6768,386.672,2.64919,388
20481.5,10532.4,117951,49477.5,30317.8,109687,69.3727,780.218,2.66346,391
54168.7,28975.9,127017,68744.1,53416.8,106952,145.909,460.025,2.66959,392
36505.5,19955.6,125146,65573.2,44599.2,111021,141.176,362.933,2.69129,394
65325.5,36345.4,130581,54984.8,36401,106434,122.198,432.291,2.69867,396
22850,12387.4,115180,59239.3,43369.3,108325,204.73,239.236,2.70261,397
32580,19237.4,121662,69525,47810.2,109634,112.162,217.337,2.70907,398
72170.6,42660.6,124937,55331.3,45415.9,97022.6,200.163,361.573,2.71929,399
25728.9,14846.4,121600,53166.9,34671.5,109950,181.911,329.914,2.73753,401
30894.3,17644.9,117002,45062.7,34632.5,98349,141.118,310.382,2.74225,402
64446.1,35212.1,124890,48642.1,35500.9,100441,115.413,266.593,2.75508,403
31273.9,17153.8,117222,34920.2,26873.8,95990.7,89.9346,265.739,2.78372,404
25340.4,13176.4,116538,51011.6,37992.9,102872,112.8,367.795,2.81342,406
66155.6,36216.8,130513,52243.7,34341.5,107428,107.108,430.796,2.8291,407
31603.6,17789.6,123870,56428.7,42564.9,103486,90.4593,332.547,2.84062,408
25114.2,14033.9,111996,60047.3,46665,103216,95.296,177.323,2.85677,409
49976.9,26040.1,127408,63147.3,45480.6,106769,185.578,261.412,2.86889,410
29562.1,15308.4,121590,55824.4,43862.6,103769,123.125,231.983,2.88586,411
46799.4,26568.5,118085,45725.8,35584.4,96214.2,94.0727,275.02,2.89091,412
27752.4,16535.6,127965,48771.2,26867,114087,113.149,255.851,2.90171,414
38987.4,21576.5,131806,76688,56097.6,111048,161.697,1217.69,2.9042,416
21027.8,11556.1,112830,54393,39732.8,103375,123.705,169.38,2.91678,418
30570.9,18825.9,110903,33262.9,27829,89545.5,51.6842,380.632,2.92937,420
43411.5,24869,128219,80204.9,62709.4,108591,135.339,381.778,2.93126,421
27717.9,16371.4,118300,49293.4,33888,104662,106.119,220.733,2.93714,422
24992.2,13957.8,115193,41953.4,31599,97587.2,103.91,309.006,2.93862,423
23160.2,12937.3,118641,39096.1,28878.6,101801,108.618,293.796,2.9389,424
23550.2,12356.2,116900,44018.3,32065.5,102388,105.538,353.298,2.94062,425
24404.9,12009.5,121170,55537.8,38915.9,107150,108.618,466.932,2.94892,426
30491.7,15653.7,133828,73356.5,48342.1,120789,154.443,366.489,2.97534,428
30786.5,18992.5,115301,47828.7,35082.9,101250,207.697,236.443,3.00725,431
23454,13521.1,120376,49527.4,36490.6,105253,121.503,227.518,3.03826,432
25033.6,15646.3,114652,40359.3,31362.6,97006,75.5727,221.649,3.04104,433
32829,17717.3,128405,66932.4,43032.6,115771,205.244,358.956,3.04585,434
46604.9,22982.2,135537,90939.3,63220.7,120123,180.65,679.243,3.049,435
28171.3,15437.3,113291,47727.2,37423.7,97929.7,112.975,340.911,3.0544,437
26526.1,14458.2,122535,60293.9,42608.7,106601,99.1973,816.171,3.05494,438
26068.8,14386.1,121902,68878,45456.1,111476,158.647,308.001,3.07511,440
37287.6,19806,126674,62986.1,39280.2,113377,179.618,421.045,3.08834,441
22990.5,11891.3,120637,59661.1,45043.3,106391,109.606,479.643,3.09594,442
23915.8,14722,120732,55453.8,35702.3,111539,121.329,414.947,3.09899,443
35628.1,18942.3,127471,59789.3,42555.6,107966,124.226,377.4,3.1157,446
39182.2,23580.5,127517,88944.1,61521.8,114493,208.096,1479.58,3.12284,447
52396.4,28070.9,140777,93019.5,51247.9,123974,279.743,505.867,3.15343,448
27574.4,13961.7,127451,71014.3,42779.2,118530,158.359,426.826,3.16288,449
21418.2,11962.8,121500,57864.6,38510.5,110262,153.06,431.621,3.16401,450
23937.5,16669.6,110434,31325.1,25954.7,86904.5,86.4352,179.823,3.16507,451
52627.3,32102.3,117750,42687.1,34278.4,95475.6,76.9171,327.543,3.17262,453
31094.7,17508.9,119307,62216,43193.6,106514,86.5519,470.714,3.17383,454
29972,16811.4,120977,67735.5,46126.9,110414,156.344,360.264,3.19953,456
50838.5,27547.9,138569,84540,53197.1,121516,301.407,389.742,3.21001,457
42271.1,22177.6,130864,94189,63430.6,116301,180.65,634.5,3.2162,458
25335.2,15620.4,120579,69456.7,47582.7,111157,180.764,458.95,3.22025,459
