sar,type,mean,sigma
5.648969007616827,bimodal,28,11
5.649258788163784,uniform,9,17
5.649472958129097,peripheral,27,31
5.6509678960277245,peripheral,27,15
5.653636940717819,bimodal,30,4
5.656483468193948,uniform,27,14
5.656692618167188,uniform,28,13
5.658619655084502,bimodal,7,25
5.659024387643347,uniform,18,19
5.66132841417615,uniform,4,22
5.661867906021137,uniform,31,7
5.661902096338428,bimodal,6,22
5.662849974004433,uniform,25,4
5.663726826809246,peripheral,24,9
5.665176903817063,uniform,25,14
5.66774116490332,peripheral,10,50
5.668208856792531,uniform,5,24
5.668214929892208,uniform,4,18
5.669174549588831,peripheral,24,13
5.66926397458381,peripheral,21,20
5.669796566112576,uniform,12,21
5.670037092289016,peripheral,49,27
5.67119861961839,bimodal,23,12
5.672007228597163,uniform,20,38
5.673075428500493,uniform,18,24
5.674060838813421,uniform,38,2
5.674060901395847,peripheral,3,24
5.674751673642403,bimodal,21,49
5.678226561212683,uniform,29,4
5.67928082280673,bimodal,3,17
5.679545639069705,uniform,27,5
5.680094365253173,bimodal,13,19
5.680749839997054,bimodal,43,46
5.685713170164578,peripheral,17,9
5.686084305945656,peripheral,30,9
5.687246881483874,peripheral,28,23
5.688262628027599,uniform,29,33
5.689799143756822,peripheral,17,12
5.693400140510791,uniform,17,31
5.693886628903926,peripheral,4,16
5.694236811527992,peripheral,15,16
5.694891318133468,bimodal,7,21
5.694898528938026,bimodal,9,18
5.695912580114541,bimodal,7,26
5.696548535475021,uniform,27,2
5.696910039511501,peripheral,7,35
5.698309142418177,bimodal,30,12
5.701204486757416,bimodal,11,20
5.701510307725326,peripheral,6,16
5.702577785030943,peripheral,21,21
5.705101119295459,uniform,5,22
5.707384248197385,uniform,41,14
5.708709583743454,bimodal,28,2
5.710774187990212,peripheral,6,24
5.714068538559475,uniform,41,8
5.715626244930172,uniform,33,12
5.71617937196131,uniform,26,17
5.716805204887874,bimodal,27,7
5.718598333877153,bimodal,3,21
5.719146824602129,peripheral,9,21
5.7206516790636055,peripheral,1,23
5.722687167243921,peripheral,17,8
5.723885825913489,bimodal,25,1
5.724039251868851,peripheral,2,18
5.725018345277124,bimodal,26,1
5.7254352054332385,uniform,27,6
5.726471486042495,uniform,7,21
5.727005362948314,uniform,37,12
5.728528937005584,bimodal,50,40
5.728729389915648,uniform,25,3
5.731189206672625,uniform,23,22
